time_stamp_ms;frame_id;morton
0;0;262208
33;1;262208
66;2;262208
99;3;262208
132;4;262208
165;5;262208
198;6;262208
231;7;262208
264;8;786624
297;9;786624
330;10;786624
363;11;786624
396;12;786624
429;13;786624
462;14;786624
495;15;786624
528;16;786624
561;17;786624
594;18;786624
627;19;786624
660;20;786624
693;21;524416
726;22;1573248
759;23;1573248
792;24;1573248
825;25;1573248
858;26;1573248
891;27;1573248
924;28;1573248
957;29;1573248
990;30;1573248
1023;31;1573248
1056;32;1573248
1089;33;1573248
1122;34;1573248
1155;35;1573248
1188;36;1048832
1221;37;1048832
1254;38;1048832
1287;39;1048832
1320;40;1048832
1353;41;1048832
1386;42;1048832
1419;43;1048832
1452;44;1048832
1485;45;1048832
1518;46;1048832
1551;47;1048832
1584;48;3146496
1617;49;3146496
1650;50;3146496
1683;51;2097664
1716;52;2097664
1749;53;2097664
1782;54;2097664
1815;55;2097664
1848;56;2097664
1881;57;2097664
1914;58;2097664
1947;59;2097664
1980;60;2097664
2013;61;2097664
2046;62;6292992
2079;63;6292992
2112;64;6292992
2145;65;6292992
2178;66;6292992
2211;67;6292992
2244;68;6292992
2277;69;6292992
2310;70;6292992
2343;71;6292992
2376;72;6292992
2409;73;6292992
2442;74;6292992
2475;75;6292992
2508;76;4195328
2541;77;12585984
2574;78;12585984
2607;79;4195328
2640;80;12585984
2673;81;12585984
2706;82;12585984
2739;83;12585984
2772;84;12585984
2805;85;12585984
2838;86;12585984
2871;87;12585984
2904;88;12585984
2937;89;12585984
2970;90;8390656
3003;91;8390656
3036;92;8390656
3069;93;8390656
3102;94;8390656
3135;95;8390656
3168;96;8390656
3201;97;8390656
3234;98;8390656
3267;99;8390656
