time_stamp_ms;frame_id;morton
0;0;0
33;1;0
66;2;0
99;3;0
132;4;0
165;5;0
198;6;0
231;7;0
264;8;8390656
297;9;8390656
330;10;8390656
363;11;8390656
396;12;8390656
429;13;8390656
462;14;8390656
495;15;8390656
528;16;12585984
561;17;12585984
594;18;12585984
627;19;12585984
660;20;12585984
693;21;12585984
726;22;12585984
759;23;4195328
792;24;6292992
825;25;6555200
858;26;6555200
891;27;6555200
924;28;6555200
957;29;6555200
990;30;6555200
1023;31;2359872
1056;32;2359872
1089;33;2359872
1122;34;2884288
1155;35;2884288
1188;36;2884288
1221;37;3933120
1254;38;1835456
1287;39;1835456
1320;40;1835456
1353;41;1835456
1386;42;1835456
1419;43;1835456
1452;44;1835456
1485;45;1835456
1518;46;1835456
1551;47;1835456
1584;48;1573248
1617;49;1573248
1650;50;1573248
1683;51;1573248
1716;52;1573248
1749;53;1835456
1782;54;1835456
1815;55;3933120
1848;56;3933120
1881;57;3933120
1914;58;3933120
1947;59;3408704
1980;60;3408704
2013;61;3408704
2046;62;6555200
2079;63;6555200
2112;64;6555200
2145;65;6555200
2178;66;6292992
2211;67;6292992
2244;68;6292992
2277;69;14683648
2310;70;14683648
2343;71;14683648
2376;72;14683648
2409;73;14683648
2442;74;14683648
2475;75;14683648
2508;76;12585984
2541;77;12585984
2574;78;12585984
2607;79;12585984
2640;80;12585984
2673;81;12585984
2706;82;12585984
2739;83;12585984
2772;84;8390656
2805;85;8390656
2838;86;8390656
2871;87;8390656
2904;88;8390656
2937;89;8390656
2970;90;8390656
3003;91;8390656
3036;92;0
3069;93;0
3102;94;0
3135;95;0
3168;96;0
3201;97;0
3234;98;0
3267;99;0
