time_stamp_ms;frame_id;cell_0;cell_1;cell_2;cell_3;cell_4;cell_5
0;0;0;0;0;0;0;0
33;1;0;0;0;0;0;0
66;2;0;0;0;0;0;0
99;3;0;0;0;0;0;0
132;4;0;0;0;0;0;0
165;5;0;0;0;0;0;0
198;6;0;0;0;0;0;0
231;7;0;0;0;0;0;0
264;8;0;0;0;0;0;1
297;9;0;0;0;0;0;1
330;10;0;0;0;0;0;1
363;11;0;0;0;0;0;1
396;12;0;0;0;0;0;1
429;13;0;0;0;0;0;1
462;14;0;0;0;0;0;1
495;15;0;0;0;0;1;1
528;16;0;0;0;0;1;1
561;17;0;0;0;0;1;1
594;18;0;0;0;0;1;1
627;19;0;0;0;0;1;1
660;20;0;0;0;0;1;1
693;21;0;0;0;0;1;1
726;22;0;0;0;1;1;1
759;23;1;0;0;1;1;1
792;24;1;0;0;1;1;1
825;25;1;0;0;1;1;1
858;26;1;0;0;1;1;1
891;27;1;0;0;1;1;1
924;28;1;0;0;1;1;1
957;29;1;0;0;1;1;1
990;30;1;1;0;1;1;1
1023;31;1;1;0;1;1;1
1056;32;1;1;0;1;1;1
1089;33;1;1;0;1;1;1
1122;34;1;1;1;1;1;1
1155;35;1;1;1;1;1;0
1188;36;1;1;1;1;1;0
1221;37;1;1;1;1;1;0
1254;38;1;1;1;1;1;0
1287;39;1;1;1;1;1;0
1320;40;1;1;1;1;1;0
1353;41;1;1;1;1;1;0
1386;42;1;1;1;1;1;0
1419;43;1;1;1;1;0;0
1452;44;1;1;1;1;0;0
1485;45;1;1;1;1;0;0
1518;46;1;1;1;1;0;0
1551;47;1;1;1;1;0;0
1584;48;1;1;1;1;0;0
1617;49;1;1;1;1;0;0
1650;50;1;1;1;1;0;0
1683;51;1;1;1;1;0;0
1716;52;1;1;1;1;0;0
1749;53;1;1;1;1;0;0
1782;54;1;1;1;1;0;0
1815;55;1;1;1;1;0;0
1848;56;1;1;1;1;0;0
1881;57;1;1;1;1;1;0
1914;58;1;1;1;1;1;0
1947;59;1;1;1;1;1;0
1980;60;1;1;1;1;1;0
2013;61;1;1;1;1;1;0
2046;62;1;1;1;1;1;0
2079;63;1;1;1;1;1;0
2112;64;1;1;1;1;1;1
2145;65;1;1;1;1;1;1
2178;66;1;1;0;1;1;1
2211;67;1;1;0;1;1;1
2244;68;1;1;0;1;1;1
2277;69;1;1;0;1;1;1
2310;70;1;0;0;1;0;1
2343;71;1;0;0;1;1;1
2376;72;1;0;0;1;1;1
2409;73;1;0;0;1;1;1
2442;74;1;0;0;1;1;1
2475;75;1;0;0;1;1;1
2508;76;0;0;0;1;1;1
2541;77;0;0;0;1;1;0
2574;78;0;0;0;0;1;0
2607;79;0;0;0;0;1;0
2640;80;0;0;0;0;1;1
2673;81;0;0;0;0;1;1
2706;82;0;0;0;0;1;1
2739;83;0;0;0;0;1;1
2772;84;0;0;0;0;1;1
2805;85;0;0;0;0;0;1
2838;86;0;0;0;0;0;1
2871;87;0;0;0;0;0;1
2904;88;0;0;0;0;0;1
2937;89;0;0;0;0;0;1
2970;90;0;0;0;0;0;1
3003;91;0;0;0;0;0;1
3036;92;0;0;0;0;0;1
3069;93;0;0;0;0;0;0
3102;94;0;0;0;0;0;0
3135;95;0;0;0;0;0;0
3168;96;0;0;0;0;0;0
3201;97;0;0;0;0;0;0
3234;98;0;0;0;0;0;0
3267;99;0;0;0;0;0;0
