time_stamp_ms;frame_id;cell_0;cell_1;cell_2;cell_3;cell_4;cell_5
0;404;1;0;0;0;0;0
33;405;1;0;0;0;0;0
66;406;1;0;0;0;0;0
99;407;1;0;0;0;0;0
132;408;1;0;0;0;0;0
165;409;1;0;0;0;0;0
198;410;1;0;0;0;0;0
231;411;1;0;0;0;0;0
264;412;1;0;0;0;0;0
297;413;1;0;0;0;0;0
330;414;1;0;0;0;0;0
363;415;1;0;0;0;0;0
396;416;1;0;0;0;0;0
429;417;1;0;0;0;0;0
462;418;1;0;0;0;0;0
495;419;1;0;0;0;0;0
528;420;1;0;0;0;0;0
561;421;1;0;0;0;0;0
594;422;1;0;0;0;0;0
627;423;1;0;0;0;0;0
660;424;1;0;0;0;0;0
693;425;1;0;0;0;0;0
726;426;1;0;0;0;0;0
759;427;1;0;0;0;0;0
792;428;1;0;0;0;0;0
825;429;1;0;0;0;0;0
858;430;1;0;0;0;0;0
891;431;1;0;0;0;0;0
924;432;1;0;0;0;0;0
957;433;1;0;0;0;0;0
990;434;1;0;0;0;0;0
1023;435;1;0;0;0;0;0
1056;436;1;0;0;0;0;0
1089;437;1;0;0;0;0;0
1122;438;1;0;0;0;0;0
1155;439;1;0;0;0;0;0
1188;440;1;0;0;0;0;0
1221;441;1;0;0;0;0;0
1254;442;1;0;0;0;0;0
1287;443;1;0;0;0;0;0
1320;444;1;0;0;0;0;0
1353;445;1;0;0;0;0;0
1386;446;1;0;0;0;0;0
1419;447;1;0;0;0;0;0
1452;448;1;0;0;0;0;0
1485;449;1;0;0;0;0;0
1518;450;1;0;0;0;0;0
1551;451;1;0;0;0;0;0
1584;452;1;0;0;0;0;0
1617;453;1;0;0;0;0;0
1650;454;1;0;0;0;0;0
1683;455;1;0;0;0;0;1
1716;456;1;0;0;0;0;1
1749;457;1;0;0;0;0;1
1782;458;1;0;0;0;0;1
1815;459;1;0;0;0;0;1
1848;460;1;0;0;0;0;1
1881;461;1;0;0;0;0;1
1914;462;1;0;0;0;0;1
1947;463;1;0;0;0;0;1
1980;464;1;0;0;0;0;1
2013;465;1;0;0;0;0;1
2046;466;1;0;0;0;0;1
2079;467;1;0;0;0;0;1
2112;468;1;0;0;0;0;1
2145;469;1;0;0;0;0;1
2178;470;1;0;0;0;0;1
2211;471;1;0;0;0;0;1
2244;472;1;0;0;0;0;1
2277;473;1;0;0;0;0;1
2310;474;1;1;0;0;0;1
2343;475;1;1;0;0;0;1
2376;476;1;1;0;0;0;1
2409;477;1;1;0;0;0;1
2442;478;1;1;0;0;0;1
2475;479;1;1;0;0;0;1
2508;480;1;1;0;0;0;1
2541;481;1;1;0;0;0;1
2574;482;1;1;0;0;0;1
2607;483;1;1;0;0;1;1
2640;484;1;1;0;0;1;1
2673;485;1;1;0;0;1;1
2706;486;0;1;0;0;1;1
2739;487;0;1;0;0;1;1
2772;488;0;1;0;0;1;1
2805;489;0;1;0;0;1;1
2838;490;0;1;0;0;1;1
2871;491;0;1;0;0;1;1
2904;492;0;1;0;0;1;1
2937;493;0;1;0;0;1;1
2970;494;0;1;0;0;1;1
3003;495;0;1;0;0;1;1
3036;496;0;1;0;0;1;1
