time_stamp_ms;frame_id;cell_0;cell_1;cell_2;cell_3;cell_4;cell_5
0;192;0;0;0;0;0;0
33;193;0;0;0;0;0;0
66;194;1;0;0;0;0;0
99;195;1;0;0;0;0;0
132;196;1;0;0;0;0;0
165;197;1;0;0;0;0;0
198;198;1;0;0;0;0;0
231;199;1;0;0;0;0;0
264;200;1;0;0;0;0;0
297;201;1;0;0;0;0;0
330;202;1;0;0;0;0;0
363;203;1;0;0;0;0;0
396;204;1;0;0;0;0;0
429;205;1;0;0;0;0;0
462;206;1;0;0;0;0;0
495;207;1;0;0;0;0;0
528;208;1;0;0;0;0;0
561;209;1;0;0;0;0;0
594;210;1;0;0;0;0;0
627;211;1;0;0;0;0;0
660;212;1;0;0;0;0;0
693;213;1;0;0;0;0;0
726;214;1;0;0;0;0;0
759;215;1;0;0;0;0;0
792;216;1;0;0;0;0;0
825;217;1;0;0;0;0;0
858;218;1;0;0;0;0;0
891;219;1;0;0;0;0;0
924;220;1;0;0;0;0;0
957;221;1;0;0;0;0;0
990;222;1;0;0;0;0;0
1023;223;1;0;0;0;0;0
1056;224;1;0;0;0;0;0
1089;225;1;0;0;0;0;0
1122;226;1;0;0;0;0;0
1155;227;1;0;0;0;0;0
1188;228;1;0;0;0;0;0
1221;229;1;0;0;0;0;0
1254;230;1;0;0;0;0;0
1287;231;1;0;0;0;0;0
1320;232;1;0;0;0;0;0
1353;233;1;0;0;0;0;0
1386;234;1;0;0;0;0;0
1419;235;1;0;0;0;0;0
1452;236;1;0;0;0;0;0
1485;237;1;0;0;0;0;0
1518;238;1;0;0;0;0;0
1551;239;1;0;0;0;0;0
1584;240;1;0;0;0;0;0
1617;241;1;0;0;0;0;0
1650;242;1;0;0;0;0;0
1683;243;1;0;0;0;0;0
1716;244;1;0;0;0;0;0
1749;245;1;1;0;0;0;0
1782;246;1;1;0;0;0;0
1815;247;1;1;0;0;0;0
1848;248;1;1;0;0;0;0
1881;249;1;1;0;0;0;0
1914;250;1;1;0;0;0;0
1947;251;1;1;0;0;0;0
1980;252;1;1;0;0;0;0
2013;253;1;1;0;0;0;0
2046;254;1;1;0;0;0;0
2079;255;1;1;0;0;0;0
2112;256;1;1;0;0;0;0
2145;257;1;1;0;0;0;0
2178;258;1;1;0;0;0;0
2211;259;1;1;0;0;0;0
2244;260;1;1;0;0;0;0
2277;261;1;1;0;0;0;0
2310;262;1;1;0;0;0;0
2343;263;1;1;0;0;0;0
2376;264;1;1;0;0;0;0
2409;265;1;1;0;0;0;0
2442;266;1;1;0;0;0;0
2475;267;1;1;0;0;0;0
2508;268;1;1;0;0;0;0
2541;269;1;1;0;0;0;0
2574;270;1;1;0;0;0;0
2607;271;1;1;0;0;0;0
2640;272;1;1;0;0;0;0
2673;273;1;1;0;0;0;0
2706;274;1;1;1;0;0;0
2739;275;1;1;1;0;0;0
2772;276;1;1;1;0;0;0
2805;277;1;1;1;0;0;0
2838;278;1;1;1;0;0;0
2871;279;1;1;1;0;0;0
2904;280;1;1;1;0;0;0
2937;281;1;1;1;0;0;0
2970;282;1;1;1;0;0;0
3003;283;1;1;1;0;0;0
3036;284;1;1;1;0;0;0
3069;285;1;1;1;0;0;0
3102;286;1;1;1;0;0;0
3135;287;1;1;1;0;0;0
3168;288;1;1;1;0;0;0
3201;289;1;1;1;0;0;0
3234;290;1;1;1;0;0;0
3267;291;1;1;1;0;0;0
3300;292;1;1;1;0;0;0
3333;293;1;1;1;0;0;0
3366;294;0;1;1;0;0;0
3399;295;0;1;1;0;0;0
3432;296;0;1;1;0;0;0
3465;297;0;1;1;0;0;0
3498;298;0;1;1;0;0;0
3531;299;0;1;1;0;0;0
3564;300;0;1;1;0;0;0
3597;301;0;1;1;0;0;0
3630;302;0;1;1;0;0;0
3663;303;0;1;1;0;0;0
3696;304;0;1;1;0;0;0
3729;305;0;1;1;0;0;0
3762;306;0;1;1;0;0;0
3795;307;0;1;1;0;0;0
3828;308;0;1;1;0;0;0
3861;309;0;1;1;0;0;0
3894;310;0;1;1;0;0;0
3927;311;0;1;1;0;0;0
3960;312;0;1;1;0;0;0
3993;313;0;1;1;0;0;0
4026;314;0;1;1;0;0;0
4059;315;0;1;1;0;0;0
4092;316;0;1;1;0;0;0
4125;317;0;1;1;0;0;0
4158;318;0;1;1;0;0;0
4191;319;0;1;1;0;0;0
4224;320;0;1;1;0;0;0
4257;321;0;0;1;0;0;0
4290;322;0;0;1;0;0;0
4323;323;0;0;1;0;0;0
4356;324;0;0;1;0;0;0
4389;325;0;0;1;0;0;0
4422;326;0;0;1;0;0;0
4455;327;0;0;1;0;0;0
4488;328;0;0;1;0;0;0
4521;329;0;0;1;0;0;0
4554;330;0;0;1;0;0;0
4587;331;0;0;1;0;0;0
4620;332;0;0;1;1;0;0
4653;333;0;0;1;1;0;0
4686;334;0;0;1;1;0;0
4719;335;0;0;1;1;0;0
4752;336;0;0;1;1;0;0
4785;337;0;0;1;1;0;0
4818;338;0;0;1;1;0;0
4851;339;0;0;0;1;0;0
4884;340;0;0;0;1;0;0
4917;341;0;0;0;1;0;0
4950;342;0;0;0;1;0;0
4983;343;0;0;0;1;0;0
5016;344;0;0;0;1;0;0
5049;345;0;0;0;1;0;0
5082;346;0;0;0;1;0;0
5115;347;0;0;0;1;0;0
5148;348;0;0;0;1;0;0
5181;349;0;0;0;1;0;0
5214;350;0;0;0;1;0;0
5247;351;0;0;0;1;0;0
5280;352;0;0;0;1;0;0
5313;353;0;0;0;1;0;0
5346;354;0;0;0;1;0;0
5379;355;0;0;0;1;0;0
5412;356;0;0;0;1;0;0
5445;357;0;0;0;1;1;0
5478;358;0;0;0;1;1;0
5511;359;0;0;0;1;1;0
5544;360;0;0;0;1;1;0
5577;361;0;0;0;1;1;0
5610;362;0;0;0;1;1;0
5643;363;0;0;0;1;1;0
5676;364;0;0;0;1;1;0
5709;365;0;0;0;1;1;0
5742;366;0;0;0;1;1;0
5775;367;0;0;0;1;1;0
5808;368;0;0;0;1;1;0
5841;369;0;0;0;1;1;0
5874;370;0;0;0;1;1;0
5907;371;0;0;0;0;1;0
5940;372;0;0;0;0;1;0
5973;373;0;0;0;0;1;0
6006;374;0;0;0;0;1;0
6039;375;0;0;0;0;1;0
6072;376;0;0;0;0;1;1
6105;377;0;0;0;0;1;1
6138;378;0;0;0;0;1;1
6171;379;0;0;0;0;1;1
6204;380;0;0;0;0;1;1
6237;381;0;0;0;0;1;1
6270;382;0;0;0;0;1;1
6303;383;0;0;0;0;1;1
6336;384;0;0;0;0;1;1
6369;385;0;0;0;0;1;1
6402;386;0;0;0;0;1;1
6435;387;0;0;0;0;1;1
6468;388;0;0;0;0;1;1
6501;389;0;0;0;0;1;1
6534;390;0;0;0;0;0;1
6567;391;0;0;0;0;0;1
6600;392;0;0;0;0;0;1
6633;393;0;0;0;0;0;1
6666;394;0;0;0;0;0;1
6699;395;0;0;0;0;0;1
6732;396;0;0;0;0;0;1
6765;397;0;0;0;0;0;1
6798;398;0;0;0;0;0;1
6831;399;0;0;0;0;0;1
6864;400;0;0;0;0;0;1
6897;401;0;0;0;0;0;1
6930;402;0;0;0;0;0;1
6963;403;0;0;0;0;0;1
6996;404;0;0;0;0;0;1
7029;405;0;0;0;0;0;1
7062;406;0;0;0;0;0;1
7095;407;0;0;0;0;0;1
7128;408;0;0;0;0;0;1
7161;409;0;0;0;0;0;1
7194;410;0;0;0;0;0;1
7227;411;0;0;0;0;0;1
7260;412;0;0;0;0;0;1
7293;413;0;0;0;0;0;1
7326;414;0;0;0;0;0;1
7359;415;0;0;0;0;0;1
7392;416;0;0;0;0;0;1
7425;417;0;0;0;0;0;0
7458;418;0;0;0;0;0;0
7491;419;0;0;0;0;0;0
7524;420;0;0;0;0;0;0
7557;421;0;0;0;0;0;0
7590;422;0;0;0;0;0;0
7623;423;0;0;0;0;0;0
7656;424;0;0;0;0;0;0
7689;425;0;0;0;0;0;0
7722;426;0;0;0;0;0;0
7755;427;0;0;0;0;0;0
7788;428;0;0;0;0;0;0
7821;429;0;0;0;0;0;0
7854;430;0;0;0;0;0;0
7887;431;0;0;0;0;0;0
7920;432;0;0;0;0;0;0
7953;433;0;0;0;0;0;0
7986;434;0;0;0;0;0;0
8019;435;0;0;0;0;0;0
8052;436;0;0;0;0;0;0
8085;437;0;0;0;0;0;0
8118;438;0;0;0;0;0;0
8151;439;0;0;0;0;0;0
8184;440;0;0;0;0;0;0
8217;441;0;0;0;0;0;0
8250;442;0;0;0;0;0;0
8283;443;0;0;0;0;0;0
8316;444;0;0;0;0;0;0
8349;445;0;0;0;0;0;0
8382;446;0;0;0;0;0;0
8415;447;0;0;0;0;0;0
8448;448;0;0;0;0;0;0
8481;449;0;0;0;0;0;0
8514;450;0;0;0;0;0;0
8547;451;0;0;0;0;0;0
8580;452;0;0;0;0;0;0
8613;453;0;0;0;0;0;0
8646;454;0;0;0;0;0;0
8679;455;0;0;0;0;0;0
8712;456;0;0;0;0;0;0
8745;457;0;0;0;0;0;0
8778;458;0;0;0;0;0;0
8811;459;0;0;0;0;0;0
8844;460;0;0;0;0;0;0
8877;461;0;0;0;0;0;0
8910;462;0;0;0;0;0;0
8943;463;0;0;0;0;0;0
8976;464;0;0;0;0;0;0
9009;465;0;0;0;0;0;0
9042;466;0;0;0;0;0;0
9075;467;0;0;0;0;0;0
9108;468;0;0;0;0;0;0
9141;469;0;0;0;0;0;0
9174;470;0;0;0;0;0;0
9207;471;0;0;0;0;0;0
9240;472;0;0;0;0;0;0
9273;473;0;0;0;0;0;0
9306;474;0;0;0;0;0;0
9339;475;0;0;0;0;0;0
9372;476;0;0;0;0;0;0
9405;477;0;0;0;0;0;0
9438;478;0;0;0;0;0;0
9471;479;0;0;0;0;0;0
9504;480;0;0;0;0;0;0
9537;481;0;0;0;0;0;0
9570;482;0;0;0;0;0;0
9603;483;0;0;0;0;0;0
9636;484;0;0;0;0;0;0
9669;485;0;0;0;0;0;0
9702;486;0;0;0;0;0;0
9735;487;0;0;0;0;0;0
9768;488;0;0;0;0;0;0
9801;489;0;0;0;0;0;0
9834;490;0;0;0;0;0;0
9867;491;0;0;0;0;0;0
9900;492;0;0;0;0;0;0
9933;493;0;0;0;0;0;0
9966;494;0;0;0;0;0;0
9999;495;0;0;0;0;0;0
