time_stamp_ms;frame_id;cell_0;cell_1;cell_2;cell_3;cell_4;cell_5
0;280;0;0;0;1;1;1
33;281;0;0;0;1;1;1
66;282;0;0;0;1;1;1
99;283;0;0;0;1;1;1
132;284;0;0;0;1;1;1
165;285;0;0;0;1;1;1
198;286;0;0;0;1;1;1
231;287;0;0;0;1;1;1
264;288;0;0;0;1;1;1
297;289;0;0;0;1;1;1
330;290;0;0;0;1;1;1
363;291;0;0;0;1;1;1
396;292;0;0;0;1;1;1
429;293;0;0;0;1;1;1
462;294;0;0;0;1;1;1
495;295;0;0;0;1;1;1
528;296;0;0;0;1;1;1
561;297;0;0;0;1;1;1
594;298;0;0;0;1;1;1
627;299;0;0;0;1;1;1
660;300;0;0;0;1;1;1
693;301;0;0;0;1;1;1
726;302;0;0;0;1;1;1
759;303;0;0;0;1;0;1
792;304;0;0;0;1;0;1
825;305;0;0;0;1;0;1
858;306;0;0;0;1;0;1
891;307;0;0;0;1;0;1
924;308;0;0;0;1;0;1
957;309;0;0;0;1;0;1
990;310;0;0;0;1;0;1
1023;311;0;0;0;1;0;1
1056;312;0;0;0;1;0;1
1089;313;0;0;0;1;0;1
1122;314;0;0;0;1;0;1
1155;315;0;0;0;1;0;1
1188;316;0;0;0;1;0;1
1221;317;0;0;0;1;0;1
1254;318;0;0;0;1;0;1
1287;319;0;0;0;1;0;1
1320;320;0;0;0;1;0;1
1353;321;0;0;0;1;0;1
1386;322;0;0;0;1;0;1
1419;323;0;0;0;1;0;1
1452;324;0;0;0;1;0;1
1485;325;0;0;0;1;1;1
1518;326;0;0;0;1;1;1
1551;327;0;0;0;1;1;1
1584;328;0;0;0;1;1;1
1617;329;0;0;0;1;1;1
1650;330;0;0;0;1;1;1
1683;331;0;0;0;1;1;1
1716;332;0;0;0;1;1;1
1749;333;0;0;0;1;1;1
1782;334;0;0;0;1;1;1
1815;335;0;0;0;1;1;1
1848;336;0;0;0;1;1;1
1881;337;0;0;0;1;1;1
1914;338;0;0;0;1;1;1
1947;339;0;0;0;0;1;1
1980;340;0;0;0;0;1;1
2013;341;0;0;0;0;1;1
2046;342;0;0;0;0;1;1
2079;343;0;0;1;0;1;1
2112;344;0;0;1;0;1;1
2145;345;0;0;1;0;1;1
2178;346;0;0;1;0;1;1
2211;347;0;0;1;0;1;1
2244;348;0;0;1;0;1;1
2277;349;0;0;1;0;1;1
2310;350;0;0;1;0;1;1
2343;351;0;0;1;0;1;1
2376;352;0;0;1;0;1;1
2409;353;0;0;1;0;1;0
2442;354;0;0;1;1;1;0
2475;355;0;0;1;1;1;0
2508;356;0;0;1;1;1;0
2541;357;0;0;1;1;1;0
2574;358;0;0;1;1;1;0
2607;359;0;0;1;1;1;1
2640;360;0;0;1;1;1;0
2673;361;0;0;1;1;1;1
2706;362;0;1;1;1;1;1
2739;363;0;1;1;1;1;1
2772;364;0;1;1;1;1;1
2805;365;0;1;1;1;1;1
2838;366;0;1;1;1;1;1
2871;367;0;1;1;1;1;1
2904;368;0;1;1;1;1;1
2937;369;0;1;1;1;1;1
2970;370;0;1;1;1;1;1
3003;371;0;1;1;1;1;1
3036;372;0;1;1;1;1;1
3069;373;0;1;0;1;1;1
3102;374;0;1;0;1;0;1
3135;375;0;1;0;1;0;1
3168;376;0;1;0;1;0;1
3201;377;0;1;0;1;0;1
3234;378;0;1;0;1;0;1
3267;379;0;1;0;1;0;1
3300;380;1;1;0;1;0;1
3333;381;1;1;1;1;0;1
3366;382;1;1;1;1;0;1
3399;383;1;1;1;1;1;1
3432;384;1;1;1;1;1;1
3465;385;1;1;1;0;1;1
3498;386;1;1;1;0;1;1
3531;387;1;1;1;0;1;0
3564;388;1;1;1;0;1;0
3597;389;1;0;1;0;1;0
3630;390;1;1;1;0;1;0
3663;391;1;1;1;0;1;0
3696;392;1;1;1;0;1;0
3729;393;1;1;1;0;1;0
3762;394;1;1;1;0;1;0
3795;395;1;1;1;0;1;0
3828;396;1;1;1;0;1;0
3861;397;1;1;1;0;1;0
3894;398;1;1;1;0;1;0
3927;399;1;1;1;0;1;0
3960;400;1;1;1;0;1;0
3993;401;1;1;1;1;1;0
4026;402;1;1;1;1;1;0
4059;403;1;1;0;1;1;0
4092;404;1;1;0;1;0;0
4125;405;1;1;0;1;0;0
4158;406;1;1;0;1;0;0
4191;407;1;1;0;1;0;0
4224;408;1;1;0;1;0;0
4257;409;1;1;0;1;0;0
4290;410;1;0;0;1;0;0
4323;411;1;0;0;1;0;0
4356;412;1;0;0;1;0;0
4389;413;1;0;0;1;0;0
4422;414;1;0;0;1;0;0
4455;415;1;0;0;1;0;0
4488;416;0;0;0;0;0;0
4521;417;0;0;0;0;0;0
4554;418;0;0;0;0;0;0
