time_stamp_ms;frame_id;cell_0;cell_1;cell_2;cell_3;cell_4;cell_5
0;710;1;1;0;0;0;0
33;711;1;1;0;0;0;0
66;712;1;1;0;0;0;0
99;713;1;1;0;0;0;0
132;714;1;1;0;0;0;0
165;715;1;1;0;0;0;0
198;716;1;1;0;0;0;0
231;717;1;1;0;0;0;0
264;718;1;1;0;0;0;0
297;719;1;1;1;0;0;0
330;720;1;1;1;0;0;0
363;721;1;1;1;0;0;0
396;722;1;1;1;0;0;0
429;723;1;1;1;0;0;0
462;724;1;1;1;0;0;0
495;725;1;1;1;0;0;0
528;726;1;1;1;0;0;0
561;727;1;1;1;0;0;0
594;728;1;1;1;0;0;0
627;729;1;1;1;0;0;0
660;730;1;1;1;0;0;0
693;731;0;1;1;0;0;0
726;732;0;1;1;0;0;0
759;733;0;1;1;0;0;0
792;734;0;1;1;0;0;0
825;735;0;1;1;0;0;0
858;736;0;1;1;0;0;0
891;737;0;1;1;0;0;0
924;738;0;1;1;0;0;0
957;739;0;1;1;0;0;0
990;740;0;1;1;1;0;0
1023;741;0;1;1;1;0;0
1056;742;0;1;1;1;0;0
1089;743;0;0;1;1;0;0
1122;744;0;0;1;1;0;0
1155;745;0;0;1;1;0;0
1188;746;0;0;1;1;0;0
1221;747;0;0;1;1;0;0
1254;748;0;0;1;1;0;0
1287;749;0;0;1;1;0;0
1320;750;0;0;1;1;1;0
1353;751;0;0;1;1;1;0
1386;752;0;0;1;1;1;0
1419;753;0;0;1;1;1;0
1452;754;0;0;1;1;1;0
1485;755;0;0;0;1;1;0
1518;756;0;0;0;1;1;1
1551;757;0;0;0;1;1;1
1584;758;0;0;0;1;1;1
1617;759;0;0;0;1;1;0
1650;760;0;0;0;1;1;1
1683;761;0;0;0;1;1;1
1716;762;0;0;0;1;1;1
1749;763;0;0;0;1;1;1
1782;764;0;0;0;1;1;1
1815;765;0;0;0;1;1;1
1848;766;0;0;0;1;1;1
1881;767;0;0;0;1;1;1
1914;768;0;0;0;1;1;1
1947;769;0;0;0;1;1;1
1980;770;0;0;0;1;1;1
2013;771;0;0;0;1;1;1
2046;772;0;0;0;0;1;1
2079;773;0;0;0;0;1;1
2112;774;0;0;0;0;1;1
2145;775;0;0;0;0;1;1
2178;776;0;0;0;0;1;1
2211;777;0;0;0;0;1;1
2244;778;0;0;0;0;1;1
2277;779;0;0;0;0;1;1
2310;780;0;0;0;0;1;1
2343;781;0;0;0;0;1;1
2376;782;0;0;0;0;1;1
2409;783;0;0;0;0;1;1
2442;784;0;0;0;0;1;1
2475;785;0;0;0;0;0;1
2508;786;0;0;0;0;0;1
2541;787;0;0;0;0;0;1
2574;788;0;0;0;0;0;1
2607;789;0;0;0;0;0;1
