time_stamp_ms;frame_id;cell_0;cell_1;cell_2;cell_3;cell_4;cell_5
0;456;0;0;0;0;0;1
33;457;0;0;0;0;0;1
66;458;0;0;0;0;0;1
99;459;0;0;0;0;0;1
132;460;0;0;0;0;0;1
165;461;0;0;0;0;0;1
198;462;0;0;0;0;0;1
231;463;0;0;0;0;1;1
264;464;0;0;0;0;1;1
297;465;0;0;0;0;1;1
330;466;0;0;0;0;1;1
363;467;0;0;0;0;1;1
396;468;0;0;0;0;1;1
429;469;0;0;0;0;1;1
462;470;0;0;0;0;1;1
495;471;0;0;0;0;1;1
528;472;0;0;0;0;1;1
561;473;0;0;0;0;1;1
594;474;0;0;0;0;1;1
627;475;0;0;0;0;1;1
660;476;0;0;0;0;1;1
693;477;0;0;0;0;1;0
726;478;0;0;0;0;1;0
759;479;0;0;0;0;1;0
792;480;0;0;0;0;1;0
825;481;0;0;0;0;1;0
858;482;0;0;0;1;1;0
891;483;0;0;0;1;1;0
924;484;0;0;0;1;1;0
957;485;0;0;0;1;1;0
990;486;0;0;0;1;1;0
1023;487;0;0;0;1;1;0
1056;488;0;0;0;1;1;0
1089;489;0;0;0;1;1;0
1122;490;0;0;0;1;1;0
1155;491;0;0;0;1;1;0
1188;492;0;0;0;1;1;0
1221;493;0;0;0;1;1;0
1254;494;0;0;0;1;1;0
1287;495;0;0;0;1;1;0
1320;496;0;0;0;1;0;0
1353;497;0;0;0;1;0;0
1386;498;0;0;0;1;0;0
1419;499;0;0;0;1;0;0
1452;500;0;0;0;1;0;0
1485;501;0;0;0;1;0;0
1518;502;0;0;0;1;0;0
1551;503;0;0;0;1;0;0
1584;504;0;0;0;1;0;0
1617;505;0;0;0;1;0;0
1650;506;0;0;0;1;0;0
1683;507;0;0;0;1;0;0
1716;508;0;0;0;1;0;0
1749;509;0;0;0;1;0;0
1782;510;0;0;0;1;0;1
1815;511;0;0;0;1;0;1
1848;512;0;0;0;1;0;1
1881;513;0;0;0;1;0;1
1914;514;0;0;0;1;0;1
1947;515;0;0;1;1;0;1
1980;516;0;0;1;1;0;1
2013;517;0;0;1;1;0;1
2046;518;0;0;1;1;0;1
2079;519;0;0;1;1;0;1
2112;520;0;0;1;1;0;1
2145;521;0;0;1;1;0;1
2178;522;0;0;1;0;0;1
2211;523;0;0;1;0;0;1
2244;524;0;0;1;0;0;1
2277;525;0;0;1;0;0;1
2310;526;0;0;1;0;0;1
2343;527;0;0;1;0;0;1
2376;528;0;0;1;0;0;1
2409;529;0;0;1;0;1;1
2442;530;0;0;1;0;1;1
2475;531;0;0;1;0;1;1
2508;532;0;0;1;0;1;1
2541;533;0;0;1;0;1;1
2574;534;0;0;1;0;1;1
2607;535;0;0;1;0;1;1
2640;536;0;0;1;0;1;1
2673;537;0;0;1;0;1;1
2706;538;0;0;1;0;1;1
2739;539;0;0;1;0;1;1
2772;540;0;0;1;0;1;1
2805;541;0;0;1;0;1;1
2838;542;0;0;1;0;1;1
2871;543;0;1;1;0;1;0
2904;544;0;1;1;0;1;0
2937;545;0;1;1;0;1;0
2970;546;0;1;1;0;1;0
3003;547;0;1;1;1;1;0
3036;548;0;1;1;1;1;0
3069;549;0;1;1;1;1;0
3102;550;0;1;1;1;1;0
3135;551;0;1;1;1;1;0
3168;552;0;1;1;1;1;0
3201;553;0;1;1;1;1;0
3234;554;0;1;1;1;1;0
3267;555;0;1;1;1;1;0
3300;556;0;1;1;1;1;0
3333;557;0;1;0;1;1;0
3366;558;0;1;0;1;1;0
3399;559;0;1;0;1;1;0
3432;560;0;1;0;1;1;0
3465;561;0;1;0;1;1;0
3498;562;0;1;0;1;1;0
3531;563;0;1;0;1;1;0
3564;564;1;1;0;1;1;0
3597;565;1;1;0;1;1;0
3630;566;1;1;0;1;1;0
3663;567;1;1;0;1;1;0
3696;568;1;1;0;1;1;0
3729;569;1;1;0;1;0;0
3762;570;1;1;0;1;0;0
3795;571;1;1;0;1;0;0
3828;572;1;1;0;1;0;0
3861;573;1;1;0;1;0;0
3894;574;1;1;0;1;0;0
3927;575;1;1;0;1;0;0
3960;576;1;1;0;1;0;0
3993;577;1;1;0;1;0;0
4026;578;1;1;0;1;0;0
4059;579;1;1;0;1;0;0
4092;580;1;1;1;1;0;0
4125;581;1;1;1;1;0;0
4158;582;1;1;1;1;0;0
4191;583;1;1;1;1;0;0
4224;584;1;1;1;1;0;0
4257;585;1;0;1;1;0;0
4290;586;1;0;1;1;0;0
4323;587;1;0;1;1;0;0
4356;588;1;0;1;0;0;0
4389;589;1;0;1;0;0;0
4422;590;1;0;1;0;0;0
4455;591;1;0;1;0;0;0
4488;592;1;0;1;0;0;0
4521;593;1;0;1;0;0;0
4554;594;1;0;1;0;0;0
4587;595;1;0;1;0;0;0
4620;596;1;0;1;0;0;0
4653;597;1;0;1;0;0;0
4686;598;1;1;1;0;0;0
