time_stamp_ms;frame_id;cell_0;cell_1;cell_2;cell_3;cell_4;cell_5
0;54;0;0;1;0;0;0
33;55;0;0;1;0;0;0
66;56;0;0;1;0;0;0
99;57;0;0;1;0;0;0
132;58;0;0;1;0;0;0
165;59;0;0;1;0;0;0
198;60;0;0;1;0;0;0
231;61;0;0;1;0;0;0
264;62;0;0;1;0;0;0
297;63;0;0;1;0;0;0
330;64;0;0;1;0;0;0
363;65;0;0;0;0;0;0
396;66;0;0;1;0;0;0
429;67;0;0;1;0;0;0
462;68;0;0;1;0;0;0
495;69;0;0;1;0;0;0
528;70;0;0;1;0;0;0
561;71;0;0;1;0;0;0
594;72;0;0;1;0;0;0
627;73;0;0;1;0;0;0
660;74;0;0;1;0;0;0
693;75;0;0;1;0;0;0
726;76;0;0;1;0;0;0
759;77;0;0;1;0;0;0
792;78;0;0;1;0;0;0
825;79;0;0;1;0;0;0
858;80;0;0;1;0;0;0
891;81;0;0;1;0;0;0
924;82;0;0;1;0;0;0
957;83;0;0;1;0;0;0
990;84;0;0;1;0;0;0
1023;85;0;0;1;0;0;0
1056;86;0;0;1;0;0;0
1089;87;0;0;1;0;0;0
1122;88;0;0;1;0;0;0
1155;89;0;0;1;0;0;0
1188;90;0;0;1;0;0;0
1221;91;0;0;1;0;0;0
1254;92;0;0;1;0;0;0
1287;93;0;0;1;0;0;0
1320;94;0;0;1;0;0;0
1353;95;0;0;1;0;0;0
1386;96;0;0;1;0;0;0
1419;97;0;0;1;0;0;0
1452;98;0;0;1;0;0;0
1485;99;0;0;1;0;0;0
1518;100;0;0;0;0;0;0
1551;101;0;0;0;0;0;0
1584;102;0;0;0;0;0;0
1617;103;0;0;0;0;0;0
1650;104;0;0;0;0;0;0
1683;105;0;0;0;0;0;0
1716;106;0;0;0;0;0;0
1749;107;0;0;0;0;0;0
1782;108;0;0;0;0;0;0
1815;109;0;0;0;0;0;0
1848;110;0;0;0;0;0;0
1881;111;0;0;0;0;0;0
1914;112;0;0;0;0;0;0
1947;113;0;0;0;0;0;0
1980;114;0;0;0;0;0;0
2013;115;0;0;0;0;0;0
2046;116;0;0;0;0;0;0
2079;117;0;0;0;0;0;0
2112;118;0;0;0;0;0;0
2145;119;0;0;0;0;0;0
2178;120;0;0;0;0;0;0
2211;121;0;0;0;0;0;0
2244;122;0;0;0;0;0;0
2277;123;0;0;0;0;0;0
2310;124;0;0;0;0;0;0
2343;125;0;0;0;0;0;0
2376;126;0;0;0;0;0;0
2409;127;0;0;0;0;0;0
2442;128;0;0;0;0;0;0
2475;129;0;0;0;0;0;0
2508;130;0;0;0;0;0;0
2541;131;0;0;0;1;0;0
2574;132;0;0;0;1;0;0
2607;133;0;0;0;1;0;0
2640;134;0;0;0;1;0;0
2673;135;0;0;0;1;0;0
2706;136;0;0;0;1;0;0
2739;137;0;0;0;1;0;0
2772;138;0;0;0;1;0;0
2805;139;0;0;0;1;0;0
2838;140;0;0;0;1;0;0
2871;141;0;0;0;1;0;0
2904;142;0;0;0;1;0;0
2937;143;0;0;0;1;0;0
2970;144;0;0;0;1;0;0
3003;145;0;0;0;1;0;0
3036;146;0;0;0;1;0;0
3069;147;0;0;0;1;0;0
3102;148;0;0;0;1;0;0
3135;149;0;0;0;1;0;0
3168;150;0;0;0;1;0;0
3201;151;0;0;0;1;0;0
3234;152;0;0;0;1;0;0
3267;153;0;0;0;1;0;0
3300;154;0;0;0;1;0;0
3333;155;0;0;0;1;0;0
3366;156;0;0;0;1;0;0
3399;157;0;0;0;1;0;0
3432;158;0;0;0;1;1;0
3465;159;0;0;0;1;1;0
3498;160;0;0;0;1;1;0
3531;161;0;0;0;1;1;0
3564;162;0;0;0;1;1;0
3597;163;0;0;0;1;1;0
3630;164;0;0;0;1;1;0
3663;165;0;0;0;1;1;0
3696;166;0;0;0;0;1;0
3729;167;0;0;0;0;1;0
3762;168;0;0;0;0;1;0
3795;169;0;0;0;0;1;0
3828;170;0;0;0;0;1;0
3861;171;0;0;0;0;1;0
3894;172;0;0;0;0;1;1
3927;173;0;0;0;0;1;1
3960;174;0;0;0;0;1;1
3993;175;0;0;0;0;1;1
4026;176;0;0;0;0;1;1
4059;177;0;0;0;0;1;1
4092;178;0;0;0;0;1;1
4125;179;0;0;0;0;1;1
4158;180;0;0;0;0;0;1
4191;181;0;0;0;0;0;1
4224;182;0;0;0;0;0;1
4257;183;0;0;0;0;0;1
4290;184;0;0;0;0;0;1
4323;185;0;0;0;0;0;1
4356;186;0;0;0;0;0;1
4389;187;0;0;0;0;0;1
4422;188;0;0;0;0;0;1
4455;189;0;0;0;0;0;1
