time_stamp_ms;frame_id;cell_0;cell_1;cell_2;cell_3;cell_4;cell_5
0;642;0;0;0;0;0;0
33;643;0;0;0;0;0;0
66;644;0;0;0;0;0;0
99;645;0;0;0;0;0;0
132;646;1;0;0;0;0;0
165;647;1;0;0;0;0;0
198;648;1;0;0;0;0;0
231;649;1;0;0;0;0;0
264;650;1;0;0;0;0;0
297;651;1;1;0;0;0;0
330;652;1;1;0;0;0;0
363;653;1;1;0;0;0;0
396;654;1;1;0;0;0;0
429;655;0;1;0;0;0;0
462;656;0;1;1;0;0;0
495;657;0;1;1;0;0;0
528;658;0;1;1;0;0;0
561;659;0;0;1;0;0;0
594;660;0;0;1;0;0;0
627;661;0;0;1;0;0;0
660;662;0;0;1;1;0;0
693;663;0;0;0;1;0;0
726;664;0;0;0;1;0;0
759;665;0;0;0;1;0;0
792;666;0;0;0;1;1;0
825;667;0;0;0;1;1;0
858;668;0;0;0;1;1;0
891;669;0;0;0;1;1;0
924;670;0;0;0;0;1;0
957;671;0;0;0;0;1;1
990;672;0;0;0;0;1;1
1023;673;0;0;0;0;1;1
1056;674;0;0;0;0;1;1
1089;675;0;0;0;0;0;1
1122;676;0;0;0;0;0;1
1155;677;0;0;0;0;0;1
1188;678;0;0;0;0;0;1
1221;679;0;0;0;0;0;1
1254;680;0;0;0;0;0;1
1287;681;0;0;0;0;0;0
1320;682;0;0;0;0;0;0
1353;683;0;0;0;0;0;0
