time_stamp_ms;frame_id;cell_0;cell_1;cell_2;cell_3;cell_4;cell_5
0;340;1;1;0;0;0;0
33;341;1;1;0;0;0;0
66;342;1;1;1;0;0;0
99;343;1;1;1;0;0;0
132;344;1;1;1;0;0;0
165;345;1;1;1;0;0;0
198;346;1;1;1;0;0;0
231;347;1;0;1;0;0;0
264;348;1;0;1;0;0;0
297;349;1;0;1;0;0;0
330;350;1;0;1;0;0;0
363;351;1;1;1;0;0;0
396;352;1;1;1;0;0;0
429;353;1;1;1;0;0;0
462;354;1;1;1;0;0;0
495;355;0;1;1;0;0;0
528;356;0;1;1;0;0;0
561;357;0;1;1;0;0;0
594;358;0;1;1;0;0;0
627;359;0;1;1;0;0;0
660;360;0;1;1;0;0;0
693;361;0;1;1;0;0;0
726;362;0;1;1;0;0;0
759;363;0;1;1;0;0;0
792;364;0;1;1;1;0;0
825;365;0;0;1;1;0;0
858;366;0;0;1;1;0;0
891;367;0;0;1;1;0;0
924;368;0;0;1;1;0;0
957;369;0;0;1;1;0;0
990;370;0;0;1;1;0;0
1023;371;0;0;1;1;0;0
1056;372;0;0;1;1;0;0
1089;373;0;0;1;1;0;0
1122;374;0;0;1;1;0;0
1155;375;0;0;0;1;1;0
1188;376;0;0;0;1;1;0
1221;377;0;0;0;1;1;0
1254;378;0;0;0;1;1;0
1287;379;0;0;0;1;1;0
1320;380;0;0;0;1;1;0
1353;381;0;0;0;1;1;0
1386;382;0;0;0;1;1;0
1419;383;0;0;0;1;1;0
1452;384;0;0;0;1;1;0
1485;385;0;0;0;1;1;0
1518;386;0;0;0;1;1;1
1551;387;0;0;0;1;1;1
1584;388;0;0;0;0;1;1
1617;389;0;0;0;0;1;1
1650;390;0;0;0;1;1;1
1683;391;0;0;0;1;1;1
1716;392;0;0;0;1;1;1
1749;393;0;0;0;1;1;1
1782;394;0;0;0;1;1;1
1815;395;0;0;0;1;0;1
1848;396;0;0;0;1;0;1
1881;397;0;0;0;1;0;1
