time_stamp_ms;frame_id;cell_0;cell_1;cell_2;cell_3;cell_4;cell_5
0;434;0;0;1;0;0;0
33;435;0;0;1;0;0;0
66;436;0;0;1;0;0;0
99;437;0;0;1;0;0;0
132;438;0;0;1;0;0;0
165;439;0;0;1;0;0;0
198;440;0;0;1;0;0;0
231;441;0;0;1;0;0;0
264;442;0;0;1;0;0;0
297;443;0;0;1;0;0;0
330;444;0;0;1;0;0;0
363;445;0;0;1;0;0;0
396;446;0;0;1;0;0;0
429;447;0;0;1;0;0;0
462;448;0;0;1;0;0;0
495;449;0;0;1;0;0;0
528;450;0;0;1;0;0;0
561;451;0;0;1;0;0;0
594;452;0;0;1;0;0;0
627;453;0;0;1;0;0;0
660;454;0;0;1;0;0;0
693;455;0;0;1;0;0;0
726;456;0;0;1;0;0;0
759;457;0;0;1;0;0;0
792;458;0;0;1;0;0;0
825;459;0;0;1;0;0;0
858;460;0;0;1;0;0;0
891;461;0;0;1;0;0;0
924;462;0;0;1;0;0;0
957;463;0;0;1;0;0;0
990;464;0;0;1;0;0;0
1023;465;0;0;1;0;0;0
1056;466;0;0;1;0;0;0
1089;467;0;0;1;0;0;0
1122;468;0;0;1;0;0;0
1155;469;0;0;1;0;0;0
1188;470;0;0;1;0;0;0
1221;471;0;0;1;0;0;0
1254;472;0;0;1;0;0;0
1287;473;0;0;1;0;0;0
1320;474;0;0;1;0;0;0
1353;475;0;0;1;0;0;0
1386;476;0;0;1;0;0;0
1419;477;0;0;1;0;0;0
1452;478;0;0;1;0;0;0
1485;479;0;0;1;0;0;0
1518;480;0;0;1;0;0;0
1551;481;0;0;1;0;0;0
1584;482;0;0;1;0;0;0
1617;483;0;0;1;0;0;0
1650;484;0;0;1;0;0;0
1683;485;0;0;1;0;0;0
1716;486;0;0;1;0;0;0
1749;487;0;0;1;0;0;0
1782;488;0;0;1;0;0;0
1815;489;0;0;1;0;0;0
1848;490;0;0;1;0;0;0
1881;491;0;0;1;0;0;0
1914;492;0;0;1;0;0;0
1947;493;0;0;1;0;0;0
1980;494;0;0;1;0;0;0
2013;495;0;0;1;0;0;0
2046;496;0;0;1;0;0;0
2079;497;0;0;1;0;0;0
2112;498;0;0;1;0;0;0
2145;499;0;0;1;0;0;0
2178;500;0;0;1;0;0;0
2211;501;0;0;1;0;0;0
2244;502;0;0;1;0;0;0
2277;503;0;0;1;0;0;0
2310;504;0;0;1;0;0;0
2343;505;0;0;1;0;0;0
2376;506;0;0;1;0;0;0
2409;507;0;0;1;0;0;0
2442;508;0;0;1;0;0;0
2475;509;0;0;1;0;0;0
2508;510;0;0;1;0;0;0
2541;511;0;0;1;0;0;0
2574;512;0;0;1;0;0;0
2607;513;0;0;1;0;0;0
2640;514;0;0;1;0;0;0
2673;515;0;0;1;0;0;0
2706;516;0;0;1;0;0;0
2739;517;0;0;1;0;0;0
2772;518;0;0;1;0;0;0
2805;519;0;0;1;0;0;0
2838;520;0;0;1;0;0;0
2871;521;0;0;1;0;0;0
2904;522;0;0;1;0;0;0
2937;523;0;0;1;0;0;0
2970;524;0;0;1;0;0;0
3003;525;0;0;1;0;0;0
3036;526;0;0;1;0;0;0
3069;527;0;0;1;0;0;0
3102;528;0;0;1;0;0;0
3135;529;0;0;0;0;0;0
3168;530;0;0;0;0;0;0
3201;531;0;0;0;0;0;0
3234;532;0;0;0;0;0;0
3267;533;0;0;0;0;0;0
3300;534;0;0;0;0;0;0
3333;535;0;0;0;0;0;0
3366;536;0;0;0;0;0;0
3399;537;0;0;0;0;0;0
3432;538;0;0;0;1;0;0
3465;539;0;0;0;1;0;0
3498;540;0;0;0;1;0;0
3531;541;0;0;0;1;0;0
3564;542;0;0;0;1;0;0
3597;543;0;0;0;1;0;0
3630;544;0;0;0;1;0;0
3663;545;0;0;0;1;0;0
3696;546;0;0;0;1;0;0
3729;547;0;0;0;1;0;0
3762;548;0;0;0;1;0;0
3795;549;0;0;0;1;0;0
3828;550;0;0;0;1;0;0
3861;551;0;0;0;1;0;0
3894;552;0;0;0;1;0;0
3927;553;0;0;0;1;0;0
3960;554;0;0;0;1;0;0
3993;555;0;0;0;1;0;0
4026;556;0;0;0;1;0;0
4059;557;0;0;0;1;0;0
4092;558;0;0;0;1;0;0
4125;559;0;0;0;1;0;0
4158;560;0;0;0;1;0;0
4191;561;0;0;0;1;0;0
4224;562;0;0;0;1;0;0
4257;563;0;0;0;1;0;0
4290;564;0;0;0;1;0;0
4323;565;0;0;0;1;0;0
4356;566;0;0;0;1;0;0
4389;567;0;0;0;1;0;0
4422;568;0;0;0;1;0;0
4455;569;0;0;0;1;0;0
4488;570;0;0;0;1;0;0
4521;571;0;0;0;1;1;0
4554;572;0;0;0;1;1;0
4587;573;0;0;0;1;1;0
4620;574;0;0;0;1;1;0
4653;575;0;0;0;1;1;0
4686;576;0;0;0;1;1;0
4719;577;0;0;0;1;1;0
4752;578;0;0;0;1;1;0
4785;579;0;0;0;1;1;0
4818;580;0;0;0;1;1;0
4851;581;0;0;0;1;1;0
4884;582;0;0;0;1;1;0
4917;583;0;0;0;1;1;0
4950;584;0;0;0;1;1;0
4983;585;0;0;0;1;1;0
5016;586;0;0;0;1;1;0
5049;587;0;0;0;1;1;0
5082;588;0;0;0;1;1;0
5115;589;0;0;0;1;1;0
5148;590;0;0;0;1;1;0
5181;591;0;0;0;1;1;0
5214;592;0;0;0;0;1;0
5247;593;0;0;0;0;1;0
5280;594;0;0;0;0;1;0
5313;595;0;0;0;0;1;0
5346;596;0;0;0;0;1;1
5379;597;0;0;0;0;1;1
5412;598;0;0;0;0;1;1
5445;599;0;0;0;0;1;1
5478;600;0;0;0;0;1;1
5511;601;0;0;0;0;1;1
5544;602;0;0;0;0;1;1
5577;603;0;0;0;0;1;1
5610;604;0;0;0;0;1;1
5643;605;0;0;0;0;1;1
5676;606;0;0;0;0;1;1
5709;607;0;0;0;0;1;1
5742;608;0;0;0;0;1;1
