time_stamp_ms;frame_id;cell_0;cell_1;cell_2;cell_3;cell_4;cell_5
0;343;0;0;0;1;1;1
33;344;0;0;0;1;1;1
66;345;0;0;0;1;1;1
99;346;0;0;0;1;1;1
132;347;0;0;0;1;1;1
165;348;0;0;0;1;1;1
198;349;0;0;1;1;1;1
231;350;0;0;1;1;1;1
264;351;0;0;1;1;1;1
297;352;0;0;1;1;1;1
330;353;0;0;1;1;1;1
363;354;0;0;1;1;1;1
396;355;0;0;1;1;1;1
429;356;0;0;1;1;1;1
462;357;0;0;1;1;1;1
495;358;0;0;1;1;1;1
528;359;0;0;1;1;1;1
561;360;0;0;1;1;1;1
594;361;0;0;1;1;1;0
627;362;0;0;1;1;1;0
660;363;0;0;1;1;1;0
693;364;0;0;1;1;1;0
726;365;0;0;1;1;1;0
759;366;0;0;1;1;1;0
792;367;0;0;1;1;1;0
825;368;0;1;1;1;1;0
858;369;0;1;1;1;1;0
891;370;0;1;1;1;1;0
924;371;0;1;1;1;1;0
957;372;0;1;1;1;1;0
990;373;0;1;1;1;1;0
1023;374;0;1;1;1;1;0
1056;375;0;1;1;1;1;0
1089;376;0;1;1;1;1;0
1122;377;0;1;1;1;1;0
1155;378;0;1;1;1;0;0
1188;379;0;1;1;1;0;0
1221;380;0;1;1;1;0;0
1254;381;1;1;1;1;0;0
1287;382;1;1;1;1;0;0
1320;383;1;1;1;1;0;0
1353;384;1;1;1;1;0;0
1386;385;1;1;1;1;0;0
1419;386;1;1;1;1;0;0
1452;387;1;1;1;1;0;0
1485;388;1;1;1;1;0;0
1518;389;1;1;1;0;0;0
1551;390;1;1;1;0;0;0
1584;391;1;1;1;0;0;0
1617;392;1;1;1;0;0;0
1650;393;1;1;1;0;0;0
1683;394;1;1;1;0;0;0
1716;395;1;1;1;0;0;0
1749;396;1;1;1;0;0;0
1782;397;1;1;1;0;0;0
1815;398;1;1;1;0;0;0
1848;399;1;1;1;0;0;0
1881;400;1;1;1;0;0;0
1914;401;1;1;1;0;0;0
1947;402;1;1;1;0;0;0
1980;403;1;1;0;0;0;0
2013;404;1;1;0;0;0;0
2046;405;1;1;0;0;0;0
2079;406;1;1;0;0;0;0
2112;407;1;1;0;0;0;0
2145;408;1;1;0;0;0;0
2178;409;1;0;0;0;0;0
