time_stamp_ms;frame_id;morton
0;176;8390656
33;177;8390656
66;178;8390656
99;179;8390656
132;180;8390656
165;181;8390656
198;182;8390656
231;183;8390656
264;184;8390656
297;185;8390656
330;186;8390656
363;187;8390656
396;188;8390656
429;189;12585984
462;190;12585984
495;191;12585984
528;192;12585984
561;193;12585984
594;194;12585984
627;195;12585984
660;196;12585984
693;197;12585984
726;198;12585984
759;199;12585984
792;200;12585984
825;201;12585984
858;202;14683648
891;203;14683648
924;204;14683648
957;205;14683648
990;206;14683648
1023;207;14683648
1056;208;14683648
1089;209;14683648
1122;210;14683648
1155;211;14683648
1188;212;14683648
1221;213;14683648
1254;214;14683648
1287;215;14683648
1320;216;14683648
1353;217;6292992
1386;218;6292992
1419;219;6292992
1452;220;6292992
1485;221;6292992
1518;222;7341824
1551;223;7341824
1584;224;7341824
1617;225;7341824
1650;226;7341824
1683;227;3146496
1716;228;3146496
1749;229;3146496
1782;230;3146496
1815;231;3146496
1848;232;3670912
1881;233;3670912
1914;234;3670912
1947;235;3670912
1980;236;1573248
2013;237;1573248
2046;238;1573248
2079;239;1573248
2112;240;1573248
2145;241;1573248
2178;242;1835456
2211;243;1835456
2244;244;1835456
2277;245;1835456
2310;246;1835456
2343;247;1835456
2376;248;1835456
2409;249;1835456
2442;250;786624
2475;251;786624
2508;252;786624
2541;253;786624
2574;254;786624
2607;255;786624
2640;256;786624
2673;257;786624
2706;258;786624
2739;259;786624
2772;260;262208
2805;261;262208
2838;262;262208
2871;263;262208
2904;264;262208
2937;265;262208
2970;266;0
3003;267;0
3036;268;0
3069;269;0
3102;270;0
